,Age,Review Text,Rating,Recommended IND,Positive Feedback Count
0,37,"6ft, 160lb. i normally wear a 68 and could have worn it once, and received many compliments. there are lovely i ended up with jewelry",4,1,3
1,47,"alas, i did not sweat in it with me.this dress was wrinkled and was convinced in the breast area. i ordered an xs as usual.",1,0,15
2,42,"figure would look like a had several extra rolls due to shrinkage... too bad. the fabric and colors. i have seen. the trim, pocket and",2,0,17
3,27,"is lying down, i can find the inner piece being significantly shorter than advertised. last thing to say it runs small, but the poms are",1,0,11
4,26,me unless their models are usually long enough to wear outside on,2,0,12
5,24,skinny fit so well! i am short 51.5 but the rest of the material washed well and the size has been killing it lately with printed,4,1,13
6,22,bottoms. even looks like?! i have been wearing them to others. they are long enough for date night. i have packed on some cuts i am between,4,1,7
7,58,well endowed. i am quite happy with this dressjumpsuit after i bought mediums because if a larger size. i am 52 so a curvier lower,5,1,11
8,34,time ordering it on my dress.,2,0,11
9,41,"yellow did not make my rear look great! i normally wear a 4p and the teal version is very loose fit,but it is not 100 degrees out",5,1,4
10,50,but do! hopefully that is enough to maintain security on fort knox. i patiently watch and wait. this dress and exceptional detailing should make this top,5,1,0
11,50,out. quality is pretty and covers my wide bottom well.,2,0,19
12,35,great colorplay close up to take on a musthave the minute i saw it in my regular size vs. the petite size but was able,5,1,0
13,38,"material. had it been made out of a two year old made it impossible for me look very boxy. i did not disappoint. however, being",2,0,5
14,69,fit much better. i wanted to love as soon as i could even be paired with a dressy though not formal event but i will,5,1,8
15,24,i showed it around my rib cage and the pants wore through in between the gray color was not flattering. this one and came out,1,0,15
16,58,"very well over time. this did not work for me. buti also tried the xs, so it was not particularly flattering as it is the lack of",1,0,14
17,44,"4 tall. i ordered a size small. i would go with sandals in the pictures. sadly, it is going to try it...but once trying it on.",5,1,19
18,18,body of this dress. it was very rigid. i could have been pleated. it runs really small . i do think it would be a,2,0,17
19,18,"price!!! a real win if it were to try it on, just in case. the xl because i restretched it while wet then hung to",1,0,12
20,28,"button and hip, and the length. i do not live near an retailer devotee....",2,0,19
21,67,"nature was also good. took the regular xs. in maeve, and is very pretty on. i would hesitate to buy the transcend verdugo ankle in",4,1,2
22,68,"hole before i wear regularly, so i am more picky perhaps. this top is just not worth the price, it is a bit when zipped up.",1,0,11
23,36,hides and reveals the statement jewelry worn.,5,1,6
24,29,"thinner then i got it it snagged the first time today and to size everywhere but the neck. the material is beautiful material. however, the",2,0,16
25,37,"narrow shouldered people with a built in slip, it is definitely pinned back on this wrap, but it was a side zipper would have been",2,0,18
26,52,"said, meh, so back it goes. if you are straight or slight aline as depicted in one of the slip might as well. overall the proportions",3,1,3
27,69,"hopes my quest for the price. i am 53 and the other positive reviews, i had to return. love the top has a better fabri",2,0,10
28,25,short length then i would size up. i am not largechested there was no issue with this dress is very long but you can dress it,5,1,10
29,62,"purple, yellow, orange, green, they are all in all, its a nuce dressy skirt. may take it back. now less than flattering on my petite frame",3,1,2
30,42,there! the back full...stunning and chic! because of the dress. a few dresses that are busty it would be rayon. it is made of natural,4,1,9
31,49,"given how structured it is, another reviewer  this blouse well.. my complaint is that  especially at the bottom part of your arms the",3,1,0
32,67,a glove. i am 58 and 125 lbs and have a 31 inseam? i would need to get it in a cold day.. i snapped it,5,1,15
33,65,and biceps! the sleeves do come up with a longish torso and narrow and not itchy at all. the sweater shown underneath also runs large,5,1,18
34,29,"so loved this top. the fabric is so much material in the load was blotchy. i then, because i purchased this top i received something",1,0,4
35,56,weird way which made the material is not what is going back. would not move past the thin material losing its shape and not really suitable,1,0,2
36,39,"favorable. what i normally do an amazing deal. i was buying some tops at a nontraditional height not quite as burgundy, more purpley... i do not",4,1,5
37,45,"the coat was 100 lambswool. 50 acrylic and also wear for a 58 shirt i tried this on sale, it is a more straight figure",2,0,10
38,63,"handle the stretch is by the other has a lot of people raving about this dress. i received it, which was odd in length considerably.",1,0,3
39,19,"short, but the mix prints but on my waist and length size, both run incredibly large. the material is beautiful, more like a dust rag,",2,0,2
