Age,Review Text,Rating,Recommended IND,Positive Feedback Count
51,"one in every fifteen items of retailer clothing fits. this jacket is one. easy to grab and keep chill away. hood snuggles up as cozy collar when not worn up. model in photo must have orangutan arms, sleeves hit at wrist on this wearer with shortish arms.boiled wool fabric is light, which is great for layering. lovely transition fall to winter transition piece. statement jacket that will live on next season and beyond.thank you, rosie neira.",5,1,0
32,"the designshape of the dress are quite flattering, flirty and feminine. but.... there is no way that the dress i received is new. the color is a faded washed out red and there are black stains all over the belt area. there is no tag... the fabric looks droopy and laundered and is not crisp, stiff or new. i am very disappointed by the quality of the item that i received. undoubtedly this one is going back.dear retailer  please make sure that you do not send preowend clothing articles to",2,0,0
57,"i purchased this top i thought of it as a sweater to wear for a chilly holiday in mn. it is super flattering and i think it would be on anyone! my 28 year old daughter saw it on me and claimed at a christmas present so i just ordered another. we have very different body types but the neckline made us both look very elegant and it is super comfortable. i have not seen how it cleans, yet. we both got the lighter colored one...love!",5,1,5
46,"this runs sooo big! i normally wear a large  145lb, 54, 36dd but due to the limited sizing small or medium i chose small because it looked big on the model and this style of dress seem to run large. the size small that i ordered could have fit two people easily together! i loved the pattern, color and the slip underneath actually fit well but i do not want to look like i am wearing a tent, lol. also, the back is slightly longer than the front, something i could not see from the pictures online.",1,0,2
57,"purchased the gray patterned top. seemed to fit tts, but it did not fit me. i am an athletic build with a 34d bust and it just would not fit right around the shoulderneck area. i am pretty confident it would fit someone who is less busty than i. the doublesided fabric was soft and felt like it would washwear very well. nice length all around...top and sleeves.",3,0,0
39,this dress brought out my tamed inner kittythere is a collar so of course it is tamed! i am in love with this unique print that roars retailer to all who admire. this is not a hot weather dress because of long sleeves and fabric. dropped stars cuz it is yucky polyrayon and you need to size down or you will be drowning in fabric this cat does not swim! looks great belted or underneath my black wool sweater. i am 53 135 36c and i purchased size 8.,4,1,0
74,"i am 57 and weigh 123 lbs. i tried on both these dresses in medium, and they both fit. they are not too thin, not too high slit, not scratchy. the problem is i am middle aged with a thick waist. the waist looked lumpy with the close fit knit. if you are younger, slim and tall, you will love it. i sent it back with regrets. hope this helps.",4,1,0
42,"i was looking for a new springsummer tee that still gave coverage for chillier mornings and nights and this is it. it has a nice swing to it that is not too wide think a flattering aline cut that has some movement towards the bottom hem. it is fitted and flattering where it needs to be the shoulders and ribcage run fitted and tts which means you do not get lost in the top. it is not boxy or oversized, but if you want a fitted and more flattering look, you can definitely size down easily, parti",4,1,2
52,"i was looking for a lightweight top to wear with black linen trousers to a party, i was not sure of this top seeing it on a slender model i am a more typical 50 year old mom body and i have never worn a peplum style. i put it on for my husband and approved, so i wore it. i received many compliments  a few from good friends who congratulated me for going out of my comfort zone with the style!",4,1,0
35,this shirt is as cute on as it looks in the pictures. i love the fit and felt great in it on a moms night out with jeans and heals. i also think it could be dressed up for work or further down for a day out and about! love it!,5,1,0
31,"this dress looks and feels cheap. the white material is stiff and does not iron nicely. the grey sweater is super thin and very cheap looking. overall, a pretty horrible dress. save your money,",1,0,0
37,"i agree with the first reviewer exactly. beautiful fabric and idea of dress looks stunning on model, but huge and shapeless in person like a tent. not at all what i expected when ordering a 2 petite. sadly, has to be returned.",1,0,3
48,loose fitting and comfortable without losing its shape. looks great on. the tie in front adds to the dress. i love to wear with tan kneehigh boots.,5,1,0
31,"adorable peasant fitting top.  not too voluminous, just right for over jeans, and really cute with shorts.  the detail makes it wearable for dress up or down, and the cut is classic!",5,1,1
26,"i was hoping to find a slimming and cozy sweater, unfortunately this one was baggy and material was really bulky. one of those occasions where i would have never purchased this in person but online you cannot quite tell the style and fit. i returned this item.",3,0,0
41,i ordered the large since the med was not available and it did not complement my figure because it was too loose all over. i like the design detail with offcenter buttons and the fabric is a nice quality.,3,0,0
24,"i really love this pant. ordered online and they fit well. they are cute, edgy with the fray at the bottom. corduroy material. awesome!",5,1,0
55,i have this top in both the green and blue and live them both. the back of this top is so cute and makes the whole top.the embroidery  is cute too.,5,1,0
31,"this top is really beautiful. the color is rich and the texture on the back is a unique touch. and i think it might have worked for me except that i could only find a ml and it was just too big. i love drapey styles and think this top would have been just the right amount of drapey if i would been able to snag a smaller size. but the ml looked like a teal sack, so it is going back.",3,1,0
39,"these are soft, silky, and super comfortable, the fit is very flattering, especially with muscular legs. beautiful pattern and colors, fit like a glove. however, unfortunately, they felt like pj pants, i know they are beach pants, but they were pretty seethrough. for the price, i decided to return and wait for potential sale... ps i needed heels as they are long if you usually get petite.",4,1,4
60,"there is so much going on on this dress  it is fantastic. hard to tell from pics  but there is a peekaboo lattice detail going down the front and back of the sleeves. the beading is plentiful but not too much for work. dress is significantly longer on me than the model  i am 56, but still a tad above the knee. with tall boots or booties and tights, this will go straight from work to out for the evening. i am real long waisted  originally ordered m, but exchanged for l. much better fit overa",5,1,2
41,"i purchased this beauty in the sophisticated dark green on black friday and it has been in constant rotation. it looks chic and classy, feels comfortable and warm. i only wish it was about 2 inches longer, i am 55 and it hits at low thigh, i prefer just above the knee for a winter dress. very practical for walking around city all day and then being ready for a dinner or drinks in style. love it.",5,1,0
51,"this dress was a disappointment. not black, but brown. and it was very oddly made, with a weird, seam right across the belly. on its way back...",1,0,0
39,"i ordered the skirt on friday and it arrived on monday. my expectations were exceeded. the fabric is great quality and there are subtle flecks of gold throughout. the fabric is substantial but not stiff at all  for this type of skirt, you need a thicker fabric. i am about 54, 123lbs and i ordered a 2 regular. the fit  everything from the length to how it fell on the hips, is perfect. cannot wait to wear this skirt!",5,1,0
38,"this is the widest sweater i have ever seen. i laughed out loud when i opened it, and then showed it around my office and everyone else cracked up too. it is comically wide. even when i was 912 months pregnant, the ml would have been pretty roomy on me. now that i am back to about a size 1012, this looks like jared from subways preweightloss pants, in sweater form. ridiculous!",2,0,1
31,"i discovered seea bathing suits last year and fell in love. i currently own two  the hermosa surf suit and the . seea zuma. for reference i am 57, 135 pounds, 34c, 28 waist. dress size 46. pants 68. jeans 28. if you have questions about sizing, there is a great reference on seeas website on how to size. if you are taller than the reference sizing they provide, but still the same measurements as another size mentioned, they suggest sizing up as the suits are typically made for surfingpadd",5,1,12
41,"i really liked this dress in pictures online. i wanted to wear it to work on casual fridays. everything about this dress was a disappointment, especially at this price point. the fit was weird tight in some places, too loose in others i am usually xs or s, i ordered this one is s. it is made out of a fairly thick and warm material, yet the neck area of the dress is more exposed than it appears in pictures, especially in the back, making it awkward to have this very warm dress with neck, upper b",2,0,3
32,"i love the design of this dress, but found it to be an odd fit. the bow in back did not cover my bra, and in fact, though the overall fit seemed right, the bust was tight unless i removed the bra which is not an option in my book. i am not largechested, so this seemed like a design flaw to me.",3,0,0
37,i purchased this based on previous reviews. the quality of the dress and the print is excellent. the dress fit me perfect in the front however there were so much extra fabric in the back that it made me look extremely large. i understand it is a shirt dress however the back would need to be taken in like 6 inches. for someone who is looking for a more boxy full coverage dress this is more for them,4,0,2
43,"i am addicted to these dresses! as usual, the detail is amazing and the shape is so flattering.as some reviewers mentioned, the dress is much more brown than shown on the picture so if you are looking for a black dress, there are others in the collection that are much better. otherwise, gorgeous dress.",4,1,0
42,"i wanted to love this sweater. the lavender color and design with the pleated back was beautiful. however when i put it on, it added at least 20 pounds to my frame. unfortunately it is going back since the cut just does not work on my frame.",2,0,1
33,"these leggings are beautiful and different. the material is very stretchy, sort of a spandex feel. panty lines definitely show in the back. i found they run true to size i wear a size 6medium28 in pants or jeans and the size medium fit me great.",5,1,0
39,"i tried these on because the color is really pretty and fun, and who donset want a pair of comfycute pants... but they looked awful on my muscular thighs... i do not think the cut will be falttering on 99 of the population. also, not as comfortable as they looked, the crotch seemed a little low on me, though the pants were in the correct size.",3,0,7
30,"i love the look of this sweater and was so happy with how it looked and felt when i first tried it on, but within a day of wear, i noticed significant pilling, which made it appear much older  worn.",3,0,0
